Código,Categoria,ANO,MÊS,MATRÍCULA,CAMPUS,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,Público,Residencial,Comercial,Industrial,Total de Economias,Leitura Anterior,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/ JUROS (R$),VALOR (R$),Verificação,Diferença
H001 2016 Janeiro,1,2016,Janeiro,2297094,2016-01-20 00:00:00,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,,,,1.0,1,3142,3155,13.0,13,Lido,,79.34,,-8.65,3.91,8.28,82.88,82.88,0
H002 2016 Janeiro,2,2016,Janeiro,2297116,2016-01-20 00:00:00,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,,,,2.0,2,3089,3097,8.0,20,Mínimo,,105.94,,-10.56,1.81,3.84,101.03,101.03,0
H003 2016 Janeiro,3,2016,Janeiro,2297124,2016-01-20 00:00:00,C11C010369,H003,CASAN,Florianópolis,Biotério Central,,,,1.0,1,1743,2107,364.0,364,,,3164.81,,-316.75,59.98,127.04,3035.08,3035.08,0
H004 2016 Janeiro,4,2016,Janeiro,2297086,2016-01-20 00:00:00,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,,,,1.0,1,482,576,94.0,94,Lido,,791.37,,-75.05,0.91,1.92,719.15,719.15,0
H005 2016 Janeiro,5,2016,Janeiro,2297078,2016-01-20 00:00:00,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,,,,1.0,1,5382,5485,103.0,103,Lido,,870.49,,-91.83,32.47,68.78,879.91,879.91,0
H006 2016 Janeiro,6,2016,Janeiro,9185569,2016-01-20 00:00:00,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,,,,1.0,1,2477,2491,14.0,14,Informado,,88.13,,-9.89,5.27,11.16,94.67,94.66999999999999,0
H007 2016 Janeiro,7,2016,Janeiro,9185550,2016-01-20 00:00:00,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,,,,1.0,1,2551,2574,23.0,23,Informado,,167.25,,-20.98,17.59,37.26,201.12,201.12,0
H008 2016 Janeiro,8,2016,Janeiro,2297159,2016-01-20 00:00:00,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,,,,1.0,1,14573,15040,467.0,467,Lido,,4070.23,,-407.98,79.22,167.8,3909.27,3909.27,0
H009 2016 Janeiro,9,2016,Janeiro,2297140,2016-02-15 00:00:00,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,,,,1.0,1,1528,1545,17.0,17,Lido,,114.5,,-12.19,4.66,9.88,116.85,116.85,0
H010 2016 Janeiro,10,2016,Janeiro,2297132,2016-01-20 00:00:00,C11C010472,H010,CASAN,Florianópolis,ETUSC,,,,1.0,1,144,147,3.0,10,Informado,,52.97,,-5.94,3.16,6.7,56.89,56.89,0
H011 2016 Janeiro,11,2016,Janeiro,8149615,2016-01-20 00:00:00,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,,,,1.0,1,25369,26413,1044.0,1044,Lido,,9142.35,,-918.29,184.45,390.68,8799.19,8799.190000000002,0
H014 2016 Janeiro,12,2016,Janeiro,2296969,2016-01-20 00:00:00,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,,6.0,1.0,51.0,58,67277,78358,11081.0,11081,Lido,,97300.23,97300.23,-19457.89,3625.07,7678.02,186445.66,186445.66,0
H015 2016 Janeiro,13,2016,Janeiro,2296918,-,-,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,,,1.0,1,-,10016,,570,Informado,,52.97,52.97,-60.16,170.18,360.44,576.4,576.4,0
H017 2016 Janeiro,14,2016,Janeiro,2296950,2016-01-20 00:00:00,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,,,,1.0,1,4381,4690,309.0,309,Informado,,2681.33,2681.33,-593.06,292.84,620.24,5682.68,5682.68,0
H018 2016 Janeiro,15,2016,Janeiro,2296640,2016-01-22 00:00:00,A13C043935,H018,CASAN,Florianópolis,DAE,,,,1.0,1,385,421,36.0,36,Lido,,281.52,281.52,-56.67,11.73,24.86,542.96,542.9599999999999,0
H019 2016 Janeiro,16,2016,Janeiro,9097821,2016-01-22 00:00:00,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,,1.0,,1.0,2,8391,8394,3.0,20,Mínimo,,105.94,105.94,-36.78,56.87,120.44,352.41,352.40999999999997,0
