Código,Categoria,ANO,MÊS,MATRÍCULA,DATA DE LEITURA,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,ECON.RESIDENCIAL (unidade),ECON. COMERCIAL (unidade),ECON. INDUSTRIAL (unidade),ECON. PÚBLICA (unidade),Total de Economias,Leitura Anterior ,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/JUROS (R$),VALOR (R$),Verificação,Diferença
H001 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297094.0,2018-01-18,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,,,,1.0,1,492.0,510.0,18.0,18.0,Lido,,144.93,,-13.7,,,131.23,131.23000000000002,0
H002 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297116.0,2018-01-18,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,,,,2.0,2,4440.0,4468.0,28.0,28.0,Informado,,207.2,,-19.59,,,187.61,187.60999999999999,0
H003 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297124.0,2018-01-18,C11C010369,H003,CASAN,Florianópolis,Biotério Central,,,,1.0,1,10198.0,10527.0,329.0,329.0,Lido,,3358.5,,-317.39,,,3041.11,3041.11,0
H004 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297086.0,2018-01-18,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,,,,1.0,1,2806.0,2861.0,55.0,55.0,Lido,,527.26,,-49.83,,,477.43,477.43,0
H005 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297078.0,2018-01-18,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,,,,1.0,1,11976.0,12378.0,402.0,402.0,Lido,,4112.81,,-388.65,,,3724.16,3724.1600000000003,0
H006 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9185569.0,2018-01-18,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,,,,1.0,1,2865.0,2865.0,0.0,10.0,Mínimo,,62.27,,-5.88,,,56.39,56.39,0
H007 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9185550.0,2018-01-18,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,,,,1.0,1,4171.0,4185.0,14.0,14.0,Informado,,103.6,,-9.79,,,93.81,93.81,0
H008 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297159.0,2018-01-18,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,,,,1.0,1,11531.0,11766.0,235.0,235.0,Informado,,2387.2,,-225.6,,,2161.6,2161.6,0
H009 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297140.0,2018-01-18,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,,,,1.0,1,2506.0,2508.0,2.0,10.0,Informado,,62.27,,-5.88,,,56.39,56.39,0
H010 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297132.0,2018-01-18,C11C010472,H010,CASAN,Florianópolis,ETUSC,,,,1.0,1,543.0,573.0,30.0,30.0,Lido,,268.93,,-25.42,,,243.51,243.51,0
H011 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,8149615.0,2018-01-18,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,,,,1.0,1,17698.0,18625.0,927.0,927.0,Lido,,9537.63,,-901.31,,,8636.32,8636.32,0
H014 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296969.0,2018-01-22,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,,6.0,1.0,51.0,58,358476.0,369281.0,10805.0,10805.0,Lido,,111446.08,111446.08,-21101.15,16669.57,,218460.58,218460.58000000002,0
H015 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296918.0,2018-01-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,,,1.0,1,1308.0,1364.0,56.0,56.0,Lido,,537.59,537.59,-101.61,,,973.57,973.57,0
H017 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296950.0,2018-01-18,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,,,,1.0,1,22724.0,23017.0,293.0,293.0,Informado,,2986.51,2986.51,-564.44,,,5408.58,5408.58,0
H018 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296640.0,2018-01-19,A13C043935,H018,CASAN,Florianópolis,DAE,,,,1.0,1,1454.0,1508.0,54.0,54.0,Médio,,516.92,516.92,-97.7,,,936.14,936.1399999999999,0
H019 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9097821.0,2018-01-19,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,,1.0,,1.0,2,2588.0,2647.0,59.0,59.0,Informado,,527.52,527.52,-99.7,,,955.34,955.3399999999999,0
H020 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296829.0,2018-01-19,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,,,,1.0,1,21074.0,21212.0,138.0,138.0,Informado,,1384.89,1384.89,-261.74,,,2508.04,2508.04,0
H021 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296632.0,2018-01-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,,,,2.0,2,2747.0,2805.0,58.0,58.0,Informado,,517.19,517.19,-97.74,,,936.64,936.6400000000001,0
H023 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296934.0,2018-01-19,B10C010114,H023,CASAN,Florianópolis,Associação Volantes 1,,,,1.0,1,4198.0,4376.0,178.0,178.0,Lido,,1798.21,1798.21,-339.86,,,3256.56,3256.56,0
H024 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296926.0,2018-01-19,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,,1.0,,1.0,2,263.0,265.0,2.0,20.0,Mínimo,,124.54,124.54,-23.54,,,225.54,225.54000000000002,0
H025 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296900.0,2018-01-19,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,,,,1.0,1,10033.0,10341.0,308.0,308.0,Lido,,3141.5,3141.5,-593.74,,,5689.26,5689.26,0
H026 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9912770.0,2018-01-19,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,,,,1.0,1,2338.0,2342.0,4.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H027 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296888.0,2018-01-19,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,,,,1.0,1,23977.0,25030.0,1053.0,1053.0,Médio,,10839.59,10839.59,-2048.68,,,19630.5,19630.5,0
H028 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,6205615.0,2018-01-19,B10C017964,H028,CASAN,Florianópolis,Nativas do Horto Botânico,,,,1.0,1,71.0,81.0,10.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H029 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,7297220.0,2018-01-10,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,,,,1.0,1,1972.0,1973.0,1.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H030 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296276.0,2018-01-10,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,30.0,,,,30,26444.0,27108.0,664.0,664.0,Informado,,4079.93,4079.93,-771.11,,,7388.75,7388.75,0
H032 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296659.0,2018-01-19,C11C001576,H032,CASAN,Florianópolis,Biblioteca Central,,,,1.0,1,5190.0,5286.0,96.0,96.0,Informado,,950.91,950.91,-179.72,,,1722.1,1722.1,0
H033 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296667.0,2018-01-19,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,,1.0,,1.0,2,5288.0,5317.0,29.0,29.0,Informado,,217.54,217.54,-41.11,,,393.97,393.96999999999997,0
H034 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,8416621.0,2018-01-19,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,,,,1.0,1,5353.0,5444.0,91.0,91.0,Informado,,899.24,899.24,-169.95,,,1628.53,1628.53,0
H035 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296845.0,2018-01-19,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,,,,1.0,1,1088.0,1093.0,5.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H037 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,6435548.0,2018-01-19,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,,,1.0,1.0,2,5627.0,5691.0,64.0,64.0,Informado,,579.2,579.2,-109.46,,,1048.94,1048.94,0
H038 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296683.0,2018-01-19,B10C014806,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,,,,1.0,1,7117.0,7267.0,150.0,150.0,Informado,,1508.89,1508.89,-285.18,,,2732.6,2732.6000000000004,0
H040 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296691.0,2018-01-19,C11C000642,H040,CASAN,Florianópolis,Reitoria I,,,,1.0,1,20669.0,21092.0,423.0,423.0,Informado,,4329.8,4329.8,-818.34,,,7841.26,7841.26,0
H041 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296810.0,2018-01-19,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,,1.0,,1.0,2,10190.0,10201.0,11.0,20.0,Informado,,124.54,124.54,-23.54,,,225.54,225.54000000000002,0
H042 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296802.0,2018-01-19,C11C001909,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,,,,1.0,1,7079.0,7235.0,156.0,156.0,Médio,,1570.89,1570.89,-296.9,,,2844.88,2844.88,0
H043 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,6816860.0,2018-01-19,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,,,,1.0,1,795.0,796.0,1.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H044 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296896.0,2018-01-19,C11C001908,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,,,,1.0,1,8081.0,8208.0,127.0,127.0,Informado,,1271.23,1271.23,-240.26,,,2302.2,2302.2,0
H045 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296772.0,2018-01-19,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,,,,1.0,1,954.0,956.0,2.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H046 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296780.0,2018-01-19,B10C017966,H046,CASAN,Florianópolis,Horto Botânico,,,,1.0,1,2244.0,2299.0,55.0,55.0,Lido,,527.26,527.26,-99.66,,,954.86,954.86,0
H047 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296837.0,2018-01-19,C11C009598,H047,CASAN,Florianópolis,Creche UFSC,,,,1.0,1,29370.0,29669.0,299.0,299.0,Informado,,3048.51,3048.51,-576.17,,,5520.85,5520.85,0
H048 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296764.0,2018-01-19,C11C001910,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,,,,1.0,1,12976.0,13416.0,440.0,440.0,Lido,,4505.46,4505.46,-851.53,,,8159.39,8159.39,0
H049 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9197478.0,2018-01-19,B10C019220,H049,CASAN,Florianópolis,Centro de Educação 1,,,,1.0,1,5305.0,5807.0,502.0,502.0,Informado,,5146.11,5146.11,-972.62,,,9319.6,9319.599999999999,0
H050 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296748.0,2018-01-19,A13C020929,H050,CASAN,Florianópolis,Centro de Educação 2,,,,1.0,1,4553.0,4553.0,0.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H051 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296756.0,2018-01-19,A13C043944,H051,CASAN,Florianópolis,Centro de Convivência,,5.0,,1.0,6,531.0,534.0,3.0,60.0,Informado,,373.62,373.62,-70.62,,,676.62,676.62,0
H053 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296713.0,2018-01-19,C11C010440,H053,CASAN,Florianópolis,Centro de Eventos,,,,1.0,1,49736.0,50131.0,395.0,395.0,Informado,,4040.48,4040.48,-763.66,,,7317.3,7317.3,0
H054 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,6923020.0,2018-01-19,B10C002843,H054,CASAN,Florianópolis,Arquitetura e Urbanismo,,,,1.0,1,19102.0,19430.0,328.0,328.0,Lido,,3348.16,3348.16,-632.8,,,6063.52,6063.5199999999995,0
H055 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296705.0,2018-01-19,G15AA00021,H055,CASAN,Florianópolis,Centro de Desportos,,1.0,,1.0,2,102052.0,105318.0,3266.0,3266.0,Informado,,37884.47,,-3580.07,,,34304.4,34304.4,0
H056 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296721.0,2018-01-19,E11C000742,H056,CASAN,Florianópolis,Restaurante Universitário 2,,1.0,,1.0,2,27777.0,28935.0,1158.0,1158.0,Informado,,13293.39,13293.39,-2512.45,,,24074.33,24074.329999999998,0
H057 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297108.0,2018-01-18,A95L322012,H057,CASAN,Florianópolis,Setor da Hidráulica,,,,1.0,1,3092.0,3128.0,36.0,36.0,Lido,,330.93,,-31.27,,,299.66,299.66,0
H058 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9611070.0,2018-01-18,C11C005856,H058,CASAN,Florianópolis,CCB MIP 2,,,,1.0,1,28311.0,28375.0,64.0,64.0,Informado,,620.25,620.25,-117.23,,,1123.27,1123.27,0
H059 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296675.0,2018-01-19,A13C020930,H059,CASAN,Florianópolis,CTC 3,,,,1.0,1,1031.0,1078.0,47.0,47.0,Lido,,444.59,444.59,-84.03,,,805.15,805.15,0
H060 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,5329663.0,2018-01-10,A13C021299,H060,CASAN,Florianópolis,Reitoria II,,,,1.0,1,2643.0,2643.0,0.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H061 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2296870.0,2018-01-19,B10C013871,H061,CASAN,Florianópolis,CCB Anatômico,,1.0,,1.0,2,9006.0,9090.0,84.0,84.0,Lido,,785.86,785.86,-148.53,,,1423.19,1423.19,0
H062 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,15023672.0,2018-01-19,C11C010415,H062,CASAN,Florianópolis,CFM - Bloco EFI - R. Eng. Agr. Andrey C. Ferreira,,,,1.0,1,14971.0,15290.0,319.0,319.0,Lido,,3255.17,3255.17,-615.23,,,5895.11,5895.110000000001,0
H072 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297167.0,2018-01-18,B10C017343,H072,CASAN,Florianópolis,CCA 1,,,,1.0,1,9523.0,9597.0,74.0,74.0,Informado,,723.58,,-68.38,,,655.2,655.2,0
H073 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297175.0,2018-01-24,A05S578217,H073,CASAN,Florianópolis,Estação Experimental de Aquicultura,,,,1.0,1,8988.0,9016.0,28.0,28.0,Lido,,248.26,,-23.46,,,224.8,224.79999999999998,0
H074 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297183.0,2018-01-18,C11C010252,H074,CASAN,Florianópolis,CCA 2,,,,1.0,1,24463.0,25241.0,778.0,778.0,Informado,,7998.01,,-755.81,,,7242.2,7242.200000000001,0
H076 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2297361.0,2018-01-13,A10C001421,H076,CASAN,Florianópolis,"Cidade das Abelhas - Rod. Virgílio Várzea, 2600",,,,1.0,1,1527.0,1538.0,11.0,11.0,Médio,,72.6,,-6.86,,,65.74,65.74,0
H081 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,2295652.0,2018-01-17,A13C040670,H081,CASAN,Florianópolis,UFSC do MEC,,,,1.0,1,2980.0,2980.0,0.0,10.0,Informado,,62.27,62.27,-11.78,,,112.76,112.76,0
H082 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,5716594.0,2018-01-19,C11C010040,H082,CASAN,Florianópolis,CCA - Tapera,,,,1.0,1,12538.0,12987.0,449.0,449.0,Lido,,4598.46,,-434.55,,,4163.91,4163.91,0
H083 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,6997937.0,2018-01-18,A16S368708,H083,CASAN,Florianópolis,Casa da Arte,,1.0,,,1,52.0,53.0,1.0,10.0,Mínimo,,62.27,62.27,-11.78,,,112.76,112.76,0
H084 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,9197419.0,2018-01-20,B11C024230,H084,CASAN,Florianópolis,"Centro de Pesquisa - Bc dos Coroas, SN",,,,1.0,1,10470.0,10735.0,265.0,265.0,Lido,,2697.19,2697.19,-509.76,,,4884.62,4884.62,0
H085 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,12791172.0,2018-01-19,Y11C048501,H085,CASAN,Florianópolis,Fortaleza de São José da Ponta Grossa,,,,1.0,1,428.0,451.0,23.0,23.0,Lido,,196.6,,-18.59,,,178.01,178.01,0
H086 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,12799408.0,2018-01-19,Y11C056745,H086,CASAN,Florianópolis,UFSC - Jurerê,,,,1.0,1,161.0,161.0,0.0,10.0,Mínimo,,62.27,,-5.88,,,56.39,56.39,0
H087 2018 Janeiro,Medidor faturado pela UFSC,2018,Janeiro,13018540.0,2018-01-15,A06S080329,H087,CASAN,Florianópolis,UFSC-Sambaqui,,,,1.0,1,5686.0,5709.0,23.0,23.0,Lido,,196.6,,-18.59,,,178.01,178.01,0
