Código,Categoria,ANO,MÊS,MATRÍCULA,DATA DE LEITURA,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,ECON.RESIDENCIAL (unidade),ECON. COMERCIAL (unidade),ECON. INDUSTRIAL (unidade),ECON. PÚBLICA (unidade),Total de Economias,Leitura Anterior ,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/JUROS (R$),VALOR (R$),Verificação,Diferença
H001 2018 Março,Medidor faturado pela UFSC,2018,Março,2297094.0,2018-03-19,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,,,,1.0,1.0,540.0,570.0,30.0,30.0,Lido,,268.93,,-25.67,,2.62,245.88,245.88,0
H002 2018 Março,Medidor faturado pela UFSC,2018,Março,2297116.0,2018-03-19,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,,,,2.0,2.0,4544.0,4617.0,73.0,73.0,Lido,,672.19,,-63.88,,3.75,612.06,612.0600000000001,0
H003 2018 Março,Medidor faturado pela UFSC,2018,Março,2297124.0,2018-03-19,C11C010369,H003,CASAN,Florianópolis,Biotério Central,,,,1.0,1.0,10863.0,11163.0,300.0,300.0,Lido,,3058.84,,-294.81,,60.82,2824.85,2824.8500000000004,0
H004 2018 Março,Medidor faturado pela UFSC,2018,Março,2297086.0,2018-03-19,B17C002619,H004,CASAN,Florianópolis,Almoxarifado Central,,,,1.0,1.0,2948.0,80.0,-2868.0,82.0,Lido,,806.25,,-77.09,,9.55,738.71,738.7099999999999,0
H005 2018 Março,Medidor faturado pela UFSC,2018,Março,2297078.0,2018-03-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,,,,1.0,1.0,12897.0,13331.0,434.0,434.0,Lido,,4443.46,,-426.95,,74.48,4090.99,4090.9900000000002,0
H006 2018 Março,Medidor faturado pela UFSC,2018,Março,9185569.0,2018-03-19,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,,,,1.0,1.0,2865.0,2865.0,0.0,10.0,Mínimo,,62.27,,-5.98,,1.13,57.42,57.42000000000001,0
H007 2018 Março,Medidor faturado pela UFSC,2018,Março,9185550.0,2018-03-19,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,,,,1.0,1.0,4206.0,4209.0,3.0,10.0,Informado,,62.27,,-6.06,,1.88,58.09,58.09,0
H008 2018 Março,Medidor faturado pela UFSC,2018,Março,2297159.0,2018-03-19,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,,,,1.0,1.0,12099.0,12885.0,786.0,786.0,Lido,,8080.68,,-767.72,,43.23,7356.19,7356.19,0
H009 2018 Março,Medidor faturado pela UFSC,2018,Março,2297140.0,2018-03-19,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,,,,1.0,1.0,2511.0,2515.0,4.0,10.0,Informado,,62.27,,-5.98,,1.13,57.42,57.42000000000001,0
H010 2018 Março,Medidor faturado pela UFSC,2018,Março,2297132.0,2018-03-19,C11C010472,H010,CASAN,Florianópolis,ETUSC,,,,1.0,1.0,603.0,662.0,59.0,59.0,Lido,,568.59,,-54.19,,4.87,519.27,519.2700000000001,0
H011 2018 Março,Medidor faturado pela UFSC,2018,Março,8149615.0,2018-03-19,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,,,,1.0,1.0,19745.0,20616.0,871.0,871.0,Lido,,8958.98,,-862.95,,172.73,8268.76,8268.76,0
H014 2018 Março,Medidor faturado pela UFSC,2018,Março,2296969.0,2018-03-22,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,,6.0,1.0,51.0,58.0,380865.0,391392.0,10527.0,10527.0,Lido,,108496.85,108496.85,-20560.2,16843.82,,213277.32,213277.32,0
H015 2018 Março,Medidor faturado pela UFSC,2018,Março,2296918.0,2018-03-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,,,1.0,1.0,1404.0,1445.0,41.0,41.0,Lido,,382.59,382.59,-74.15,,19.47,710.5,710.5,0
H017 2018 Março,Medidor faturado pela UFSC,2018,Março,2296950.0,2018-03-19,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,,,,1.0,1.0,24013.0,25274.0,1261.0,1261.0,Lido,,12988.85,12988.85,-2465.12,,108.17,23620.75,23620.75,0
H018 2018 Março,Medidor faturado pela UFSC,2018,Março,2296640.0,2018-03-19,A13C043935,H018,CASAN,Florianópolis,DAE,,,,1.0,1.0,1610.0,1879.0,269.0,269.0,Informado,,2738.52,2738.52,-519.35,,18.72,4976.41,4976.41,0
